Data;ipca;BM;M1;M2;ln_BM;ln_M1;ln_M2
nov/07;0,38;127.392.938;187.241.859;732.920.543;18,66278687;19,0479117;20,41254785
dez/07;0,74;143.642.044;214.155.337;779.565.807;18,78283496;19,18221218;20,47424766
jan/08;0,54;141.857.783;202.948.456;755.191.254;18,77033559;19,12846259;20,44248159
fev/08;0,49;132.524.250;190.951.499;758.572.363;18,70227621;19,06753002;20,44694875
mar/08;0,48;130.810.977;189.359.423;780.089.115;18,68926392;19,05915748;20,47491872
abr/08;0,55;131.319.717;191.044.848;815.392.374;18,6931455;19,06801876;20,51918
mai/08;0,79;132.658.230;191.882.691;846.322.011;18,70328668;19,07239476;20,55641047
jun/08;0,74;131.066.791;190.629.165;870.906.826;18,69121761;19,06584055;20,58504556
jul/08;0,53;134.668.890;194.074.302;919.095.072;18,71832966;19,08375164;20,63890013
ago/08;0,28;133.935.197;192.300.570;964.017.755;18,71286664;19,07457017;20,68662027
set/08;0,26;137.544.332;198.029.149;1.003.158.652;18,73945684;19,10392479;20,72641951
out/08;0,45;139.816.251;199.894.602;1.027.541.803;18,75583963;19,1133008;20,75043519
nov/08;0,36;130.600.225;199.130.232;1.048.357.196;18,6876515;19,1094696;20,7704902
dez/08;0,28;145.741.666;222.008.940;1.086.785.083;18,7973462;19,21822821;20,80648971
jan/09;0,48;142.042.290;212.754.612;1.068.177.739;18,77163539;19,17565;20,78921999
fev/09;0,55;135.860.956;202.578.899;1.074.117.820;18,72714254;19,12663999;20,79476553
mar/09;0,2;132.167.815;198.233.106;1.073.712.242;18,699583;19,1049542;20,79438787
abr/09;0,48;132.422.172;199.892.749;1.077.756.632;18,70150565;19,11329153;20,79814753
mai/09;0,47;134.772.221;201.586.202;1.091.164.504;18,71909666;19,12172765;20,81051132
jun/09;0,36;136.247.294;204.615.096;1.112.294.167;18,72998213;19,13664119;20,82969054
jul/09;0,24;138.420.910;207.755.005;1.115.662.312;18,74580967;19,15187008;20,83271407
ago/09;0,15;138.716.549;206.702.982;1.121.786.452;18,74794319;19,14679345;20,8381883
set/09;0,24;145.138.231;213.022.527;1.139.974.843;18,79319716;19,17690848;20,85427203
out/09;0,28;145.570.813;216.117.801;1.135.682.421;18,79617321;19,19133419;20,85049956
nov/09;0,41;148.649.026;219.877.940;1.150.559.910;18,81709856;19,20858313;20,86351454
dez/09;0,37;167.400.479;244.897.021;1.185.866.143;18,93589958;19,31634836;20,89373927
jan/10;0,75;165.388.038;240.128.519;1.164.959.304;18,92380502;19,29668483;20,87595199
